City ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
124,Moissala,TD,2022-03-17 23:43:00,8.3404,17.7663,77.22,15,100,5.35
125,Sobolevo,RU,2022-03-17 23:43:02,54.4299,31.8996,7.57,97,16,2.37
126,Morro Bay,US,2022-03-17 23:43:02,35.3658,-120.8499,78.12,67,85,8.01
127,Challans,FR,2022-03-17 23:43:02,46.8436,-1.8749,43.0,79,11,12.66
128,Lebu,CL,2022-03-17 23:43:03,-37.6167,-73.65,55.72,75,0,21.7
129,College,US,2022-03-17 23:43:03,64.8569,-147.8028,28.8,55,75,4.61
130,Lambarene,GA,2022-03-17 23:43:03,-0.7001,10.2406,75.47,96,88,2.95
131,Bac Lieu,VN,2022-03-17 23:43:04,9.285,105.7244,80.02,80,64,4.34
132,Ginda,IN,2022-03-17 23:43:04,30.6945,78.4932,56.73,21,97,6.91
133,Tuatapere,NZ,2022-03-17 23:43:05,-46.1333,167.6833,64.67,55,5,2.75
134,Sitka,US,2022-03-17 23:40:50,57.0531,-135.33,44.49,70,100,14.97
135,Kaele,CM,2022-03-17 23:43:05,10.1092,14.4508,80.37,12,93,12.17
136,Wells,GB,2022-03-17 23:43:06,51.2079,-2.649,49.19,90,89,5.41
137,Bambous Virieux,MU,2022-03-17 23:43:06,-20.3428,57.7575,77.25,88,20,3.44
138,Gainesville,US,2022-03-17 23:41:03,29.6516,-82.3248,75.31,65,0,11.5
139,Tra Vinh,VN,2022-03-17 23:43:07,9.9347,106.3453,79.03,81,26,3.71
140,Bredasdorp,ZA,2022-03-17 23:43:07,-34.5322,20.0403,54.72,88,7,1.14
141,Castro,BR,2022-03-17 23:43:07,-24.7911,-50.0119,66.33,94,60,5.08
142,Leningradskiy,RU,2022-03-17 23:43:08,69.3833,178.4167,-1.57,77,98,18.95
143,Katsuura,JP,2022-03-17 23:43:08,35.1333,140.3,48.22,86,100,14.85
144,Karratha,AU,2022-03-17 23:43:09,-20.7377,116.8463,94.91,29,40,11.97
145,Bathsheba,BB,2022-03-17 23:43:09,13.2167,-59.5167,79.41,73,40,20.71
146,Batsfjord,NO,2022-03-17 23:43:10,70.6345,29.7185,34.03,90,100,22.21
147,Nome,US,2022-03-17 23:38:30,64.5011,-165.4064,12.27,57,0,5.75
148,The Valley,AI,2022-03-17 23:43:10,18.217,-63.0578,78.66,83,40,11.5
149,Boguchany,RU,2022-03-17 23:43:11,58.3814,97.4531,8.31,98,100,2.06
150,Goderich,CA,2022-03-17 23:43:11,43.7501,-81.7165,50.32,66,75,1.14
151,Okhotsk,RU,2022-03-17 23:43:11,59.3833,143.3,11.25,78,100,5.41
152,Camacha,PT,2022-03-17 23:43:12,33.0833,-16.3333,56.62,67,75,10.36
153,Santa Maria,BR,2022-03-17 23:41:07,-29.6842,-53.8069,76.3,88,0,3.44
154,Matara,LK,2022-03-17 23:43:12,5.9485,80.5353,76.35,80,94,2.93
155,Hami,CN,2022-03-17 23:43:13,42.8,93.45,41.85,52,61,8.61
156,Hasaki,JP,2022-03-17 23:43:13,35.7333,140.8333,43.2,77,100,21.79
157,Bethel,US,2022-03-17 23:43:13,41.3712,-73.414,54.09,92,100,2.73
158,Kuala Terengganu,MY,2022-03-17 23:43:14,5.3302,103.1408,76.95,94,20,3.44
159,Margate,GB,2022-03-17 23:43:14,51.3813,1.3862,47.7,81,43,4.0
160,Lagoa,PT,2022-03-17 23:43:14,39.05,-27.9833,60.39,85,76,41.96
161,Alta Floresta,BR,2022-03-17 23:43:15,-9.8756,-56.0861,72.84,96,99,2.26
162,Nuristan,AF,2022-03-17 23:43:15,35.3,70.8333,29.95,65,4,8.16
163,San Borja,BO,2022-03-17 23:43:16,-14.8167,-66.85,74.26,80,30,2.21
164,Aklavik,CA,2022-03-17 23:43:16,68.2191,-135.0107,-0.4,65,75,3.44
165,Upernavik,GL,2022-03-17 23:43:16,72.7868,-56.1549,-20.25,75,33,5.73
166,Lubango,AO,2022-03-17 23:43:17,-14.9172,13.4925,57.7,65,86,2.77
167,Atuona,PF,2022-03-17 23:43:17,-9.8,-139.0333,79.07,69,1,15.32
168,Sao Joao Da Barra,BR,2022-03-17 23:43:18,-21.6403,-41.0511,78.55,84,0,16.91
169,Rawson,AR,2022-03-17 23:43:18,-43.3002,-65.1023,54.9,32,23,16.11
170,Svetlogorsk,BY,2022-03-17 23:43:19,52.6333,29.7333,25.23,72,6,3.85
171,Cockburn Town,TC,2022-03-17 23:41:54,21.4612,-71.1419,78.76,69,40,17.27
172,Airai,TL,2022-03-17 23:43:19,-8.9266,125.4092,63.3,88,100,1.61
173,Thompson,CA,2022-03-17 23:43:20,55.7435,-97.8558,35.76,69,75,9.22
174,Nhulunbuy,AU,2022-03-17 23:43:20,-12.2333,136.7667,86.61,84,40,5.75
175,Nyurba,RU,2022-03-17 23:43:21,63.2842,118.3319,-12.75,100,95,2.15
176,Severo-Kurilsk,RU,2022-03-17 23:43:21,50.6789,156.125,32.27,92,99,20.6
177,Chumikan,RU,2022-03-17 23:43:21,54.7183,135.315,17.2,93,100,10.16
178,Karakol,KG,2022-03-17 23:43:22,42.4907,78.3936,37.08,78,100,3.02
179,Pangnirtung,CA,2022-03-17 23:43:22,66.1451,-65.7125,-10.19,99,100,2.33
180,Zhezkazgan,KZ,2022-03-17 23:43:23,47.8043,67.7144,17.67,95,100,7.67
181,Tiznit,MA,2022-03-17 23:43:23,29.5833,-9.5,54.95,86,98,2.84
182,Gornyy,RU,2022-03-17 23:43:24,55.1153,83.9059,-8.28,100,100,1.95
