City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
66,Sola,VU,74.07,broken clouds,-13.8833,167.55,Leumerus Bungalows
67,Chato,TZ,78.6,broken clouds,-2.6378,31.7669,Morning Star Inn
70,Beruwala,LK,78.87,few clouds,6.4788,79.9828,The Palms Hotel
73,Lorengau,PG,82.6,scattered clouds,-2.0226,147.2712,Lorengau Harbourside Hotel
74,Isangel,VU,80.01,overcast clouds,-19.55,169.2667,Tanna Lodge
75,Cabo San Lucas,MX,74.52,few clouds,22.8909,-109.9124,Hotel Tesoro Los Cabos
76,Mosetse,BW,78.44,overcast clouds,-20.75,26.65,
78,Saint-Philippe,RE,80.22,light rain,-21.3585,55.7679,"Chambres d'hôte ""La Trinité"""
82,Victoria,HK,76.17,clear sky,22.2855,114.1577,Mini Hotel Central
83,Iturama,BR,85.17,broken clouds,-19.7281,-50.1956,República DominaCana
84,Kavaratti,IN,83.53,scattered clouds,10.5669,72.642,Hotels in Lakshadweep Islands
85,Cape Town,ZA,88.12,clear sky,-33.9258,18.4232,"Radisson Blu Hotel Waterfront, Cape Town"
89,Kavieng,PG,82.78,overcast clouds,-2.5744,150.7967,Nusa Island Retreat
90,Khandbari,NP,72.77,scattered clouds,27.3747,87.2039,Sainik Hotel And Lodge
91,Hervey Bay,AU,72.95,scattered clouds,-25.2986,152.8535,Shelly Bay Resort
92,Kimbe,PG,78.76,light rain,-5.5502,150.1429,Kimbe Bay Hotel
94,Kapaa,US,73.72,light rain,22.0752,-159.319,Sheraton Kauai Coconut Beach Resort
99,Vila Velha,BR,87.94,scattered clouds,-20.3297,-40.2925,Hotel Vitória Palace
101,Constitucion,CL,70.18,broken clouds,-35.3333,-72.4167,Hotel Boutique Las Azucenas
104,Puerto Suarez,BO,75.76,moderate rain,-18.95,-57.8,Hotel casa real
107,Kawalu,ID,73.33,overcast clouds,-7.3817,108.2082,West Jontor
108,Touros,BR,86.16,moderate rain,-5.1989,-35.4608,INN NEW HORIZON
118,East London,ZA,76.14,clear sky,-33.0153,27.9116,Tu Casa
125,Sao Filipe,CV,70.92,few clouds,14.8961,-24.4956,Hotel Xaguate
126,Palu,ID,75.99,overcast clouds,-0.8917,119.8707,Hotel Santika Palu
127,Pemba,MZ,84.9,thunderstorm,-12.974,40.5178,Guesthouse Samotina
129,Bambous Virieux,MU,82.22,light rain,-20.3428,57.7575,Casa Tia Villa
137,Acapulco,MX,76.82,few clouds,16.8634,-99.8901,HS Hotsson Smart Acapulco
138,Lindi,TZ,80.53,light rain,-10.0,39.7167,Lindi paradise house
141,Aitape,PG,80.6,broken clouds,-3.1374,142.3475,
143,Chone,EC,73.02,very heavy rain,-0.6833,-80.1,Ciudadela Gonzalez
145,Pochutla,MX,85.82,clear sky,15.7432,-96.4661,Hotel Posada San Jose
148,Geraldton,AU,75.61,broken clouds,-28.7667,114.6,Broadwater Mariner Resort
150,Myanaung,MM,83.64,scattered clouds,18.2833,95.3167,Taung Hlay Khar
154,Saint-Pierre,RE,81.91,scattered clouds,-21.3393,55.4781,Lindsey Hôtel
158,Careiro Da Varzea,BR,83.03,overcast clouds,-3.2003,-59.8119,POUSADA DA ALDENORA
159,Manacapuru,BR,82.45,overcast clouds,-3.2997,-60.6206,Novo Hotel
163,Tura,IN,77.27,clear sky,25.5198,90.2201,Hotel RIKMAN Continental
164,Savannah Bight,HN,80.31,overcast clouds,16.45,-85.85,Villa on Dunbar Rock
167,Taoudenni,ML,89.96,broken clouds,22.6783,-3.9836,
168,Inirida,CO,81.66,overcast clouds,3.8653,-67.9239,Fuente del Guania Hotel de Lujo
170,Ugoofaaru,MV,83.39,clear sky,5.6667,73.0,Ungoofaaru Inn
173,Saldanha,ZA,87.85,few clouds,-33.0117,17.9442,Blue Bay Lodge
175,Ende,ID,78.39,overcast clouds,-8.8432,121.6623,Dwi Putra Hotel - Ende
176,Nanakuli,US,74.71,broken clouds,21.3906,-158.1547,Camp Pālehua
184,Vao,NC,73.96,light rain,-22.6667,167.4833,Hotel Kou-Bugny
187,Hithadhoo,MV,84.07,few clouds,-0.6,73.0833,Scoop Guest House
188,Puerto Ayora,EC,85.96,few clouds,-0.7393,-90.3518,Finch Bay Galapagos Hotel
193,Gamba,GA,84.04,overcast clouds,-2.65,10.0,
195,Ibra,OM,80.51,clear sky,22.6906,58.5334,مزرعة راحة النفوس المنزفة
197,Port Keats,AU,83.41,overcast clouds,-14.25,129.55,TDC Village (Hundred Man Camp)
198,Rulenge,TZ,73.69,light rain,-2.7175,30.6325,
204,Nhulunbuy,AU,81.21,few clouds,-12.2333,136.7667,East Arnhem Real Estate
205,Mahibadhoo,MV,83.08,clear sky,3.7833,72.9667,Omadhoo Inn
207,Bandarbeyla,SO,79.12,clear sky,9.4942,50.8122,JABIR HOTEL
208,Marzuq,YE,76.03,clear sky,14.4,46.4667,
215,Tapes,BR,70.7,overcast clouds,-30.6733,-51.3958,Cabanas Camping Union
